# time passed	number of events	moving average
11625.0	242.0	237.05225806451614
11632.5	233.0	237.04964539007094
11640.0	242.0	237.0528350515464
11647.5	261.0	237.06825499034127
11655.0	259.0	237.08236808236808
11662.5	253.0	237.09260450160772
11670.0	231.0	237.08868894601542
11677.5	224.0	237.08028259473346
11685.0	225.0	237.07252888318357
11692.5	234.0	237.07055805003208
11700.0	238.0	237.07115384615383
11707.5	227.0	237.06470211402947
11715.0	229.0	237.0595390524968
11722.5	219.0	237.04798464491364
11730.0	225.0	237.04028132992326
11737.5	246.0	237.04600638977635
11745.0	216.0	237.03256704980842
11752.5	259.0	237.04658583280153
11760.0	215.0	237.0325255102041
11767.5	244.0	237.03696622052263
11775.0	202.0	237.01464968152865
11782.5	225.0	237.00700190961172
11790.0	210.0	236.98982188295165
11797.5	258.0	237.00317863954228
11805.0	246.0	237.00889453621346
11812.5	239.0	237.01015873015874
11820.0	263.0	237.0266497461929
11827.5	237.0	237.02663284717818
11835.0	217.0	237.01394169835234
11842.5	251.0	237.02279924002534
11850.0	236.0	237.02215189873417
11857.5	235.0	237.02087286527515
11865.0	267.0	237.03982300884957
11872.5	217.0	237.0271636133923
11880.0	219.0	237.01578282828282
11887.5	230.0	237.01135646687698
11895.0	225.0	237.00378310214376
11902.5	232.0	237.00063011972276
11910.0	244.0	237.00503778337531
11917.5	236.0	237.00440528634363
11925.0	246.0	237.01006289308177
11932.5	252.0	237.01948460087996
11940.0	253.0	237.02952261306532
11947.5	243.0	237.03327055869428
11955.0	208.0	237.0150564617315
11962.5	262.0	237.0307210031348
11970.0	233.0	237.0281954887218
11977.5	225.0	237.020663744521
11985.0	229.0	237.01564455569462
11992.5	237.0	237.01563477173232
12000.0	235.0	237.014375
12007.5	221.0	237.0043722673329
12015.0	233.0	237.00187265917603
12022.5	227.0	236.99563318777294
12030.0	232.0	236.9925187032419
12037.5	233.0	236.990031152648
12045.0	226.0	236.98318804483188
12052.5	264.0	237.0
12060.0	246.0	237.00559701492537
12067.5	247.0	237.01180857675575
12075.0	249.0	237.01925465838508
12082.5	224.0	237.01117318435755
12090.0	238.0	237.01178660049627
12097.5	240.0	237.0136391816491
12105.0	248.0	237.02044609665427
12112.5	239.0	237.02167182662538
12120.0	227.0	237.0154702970297
12127.5	237.0	237.01546072974645
12135.0	246.0	237.02101359703337
12142.5	247.0	237.0271772699197
12150.0	235.0	237.02592592592592
12157.5	254.0	237.03639728562615
12165.0	247.0	237.04254007398274
12172.5	229.0	237.03758471965497
12180.0	209.0	237.02032019704433
12187.5	250.0	237.0283076923077
12195.0	219.0	237.01722017220172
12202.5	205.0	236.99754148740013
12210.0	215.0	236.9840294840295
12217.5	251.0	236.9926335174954
12225.0	262.0	237.0079754601227
12232.5	237.0	237.00797057020233
12240.0	239.0	237.00919117647058
12247.5	247.0	237.01530924678505
12255.0	239.0	237.01652386780907
12262.5	263.0	237.03241590214068
12270.0	224.0	237.0244498777506
12277.5	242.0	237.02748930971288
12285.0	265.0	237.04456654456655
12292.5	219.0	237.03355704697987
12300.0	238.0	237.0341463414634
12307.5	206.0	237.01523461304083
12315.0	237.0	237.01522533495736
12322.5	227.0	237.0091296409008
12330.0	223.0	237.00060827250607
12337.5	225.0	236.99331306990882
12345.0	220.0	236.98298906439854
12352.5	239.0	236.98421372191865
12360.0	246.0	236.9896844660194
12367.5	238.0	236.99029714978775
12375.0	236.0	236.98969696969698
12382.5	246.0	236.99515445184736
12390.0	228.0	236.9897094430993
12397.5	230.0	236.98548094373865
12405.0	238.0	236.98609431680774
12412.5	239.0	236.98731117824772
12420.0	250.0	236.9951690821256
12427.5	259.0	237.0084490042245
12435.0	240.0	237.0102533172497
12442.5	219.0	236.99939722724534
12450.0	229.0	236.99457831325302
12457.5	231.0	236.99096929560505
12465.0	221.0	236.98134777376654
12472.5	245.0	236.98616957306072
12480.0	262.0	237.00120192307693
12487.5	246.0	237.0066066066066
12495.0	246.0	237.01200480192077
12502.5	255.0	237.0227954409118
12510.0	248.0	237.02937649880096
12517.5	234.0	237.02756141402037
12525.0	215.0	237.01437125748504
12532.5	235.0	237.0131657690006
12540.0	234.0	237.01136363636363
12547.5	225.0	237.0041841004184
12555.0	259.0	237.0173237753883
12562.5	225.0	237.01014925373136
12570.0	228.0	237.00477326968974
12577.5	247.0	237.0107334525939
12585.0	237.0	237.01072705601908
12592.5	252.0	237.0196545562835
12600.0	257.0	237.03154761904761
12607.5	206.0	237.01308744794764
12615.0	252.0	237.0219976218787
12622.5	242.0	237.02495543672015
12630.0	230.0	237.020783847981
12637.5	229.0	237.0160237388724
12645.0	239.0	237.01720047449584
12652.5	256.0	237.0284528749259
12660.0	251.0	237.0367298578199
12667.5	231.0	237.0331557134399
12675.0	249.0	237.04023668639053
12682.5	225.0	237.03311649911296
12690.0	217.0	237.0212765957447
12697.5	255.0	237.03189604252805
12705.0	211.0	237.01652892561984
12712.5	219.0	237.00589970501474
12720.0	229.0	237.00117924528303
12727.5	245.0	237.00589275191516
12735.0	239.0	237.00706713780917
12742.5	236.0	237.00647439670394
12750.0	249.0	237.0135294117647
12757.5	229.0	237.00881834215167
12765.0	212.0	236.99412455934194
12772.5	226.0	236.9876688197299
12780.0	247.0	236.99354460093898
12787.5	212.0	236.97888563049852
12795.0	230.0	236.97479484173505
12802.5	230.0	236.97070884592853
12810.0	219.0	236.96018735362998
12817.5	260.0	236.97366881217087
12825.0	208.0	236.95672514619883
12832.5	244.0	236.96084161309176
12840.0	253.0	236.97021028037383
12847.5	220.0	236.96030356100408
12855.0	286.0	236.9889148191365
12862.5	220.0	236.97900874635567
12870.0	235.0	236.97785547785548
12877.5	246.0	236.98311007571345
12885.0	265.0	236.99941792782306
12892.5	228.0	236.99418266433975
12900.0	221.0	236.98488372093024
12907.5	256.0	236.99593259732714
12915.0	236.0	236.99535423925667
12922.5	230.0	236.9912942542078
12930.0	246.0	236.99651972157773
12937.5	271.0	237.01623188405796
12945.0	268.0	237.03418308227114
12952.5	248.0	237.04053271569194
12960.0	265.0	237.05671296296296
12967.5	226.0	237.0503181029497
12975.0	237.0	237.05028901734104
12982.5	238.0	237.05083766608897
12990.0	212.0	237.03637413394918
12997.5	209.0	237.0201961915753
13005.0	223.0	237.0121107266436
13012.5	219.0	237.00172910662823
13020.0	253.0	237.01094470046084
13027.5	245.0	237.01554404145077
13035.0	234.0	237.01380897583428
13042.5	214.0	237.00057504312824
13050.0	227.0	236.9948275862069
13057.5	247.0	237.00057438253876
13065.0	210.0	236.98507462686567
13072.5	259.0	236.99770510613885
13080.0	251.0	237.00573394495413
13087.5	224.0	236.99828080229227
13095.0	225.0	236.9914089347079
13102.5	240.0	236.9931310818546
13110.0	244.0	236.99713958810068
13117.5	236.0	236.99656946826758
13125.0	222.0	236.988
